Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 Tae Guk Gi: The Brotherhood of War , Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong,40389,Action, Drama, War, $1.11M,R
 Andaz Apna Apna , Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor,54235,Action, Comedy, Romance,N/A,U
 Karthikeya 2 , Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu,63271,Action, Adventure, Fantasy,N/A,UA
 Arjun Reddy , Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana,26319,Action, Drama, Romance,N/A,A
 1: Nenokkadine , Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat,45908,Action, Thriller,N/A,N/A,UA
 The Breath , Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç,34414,Action, Drama, Thriller,N/A,N/A
 John Wick: Chapter 4 , Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick,203882,Action, Crime, Thriller,N/A,A
 Avatar , Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez,1344262,Action, Adventure, Fantasy, $760.51M,UA
 X-Men: Days of Future Past , Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy,725761,Action, Adventure, Sci-Fi, $233.92M,UA
 Iron Man , Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges,1084081,Action, Adventure, Sci-Fi, $318.41M,UA
 Edge of Tomorrow , Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson,700306,Action, Adventure, Sci-Fi, $100.21M,UA
 Thor: Ragnarok , Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo,777921,Action, Adventure, Comedy, $315.06M,UA
 Children of Men , Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine,512182,Action, Drama, Sci-Fi, $35.55M,A
 Star Trek , Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy,610693,Action, Adventure, Sci-Fi, $257.73M,UA
 The Bourne Identity , Franka Potente, Matt Damon, Chris Cooper, Clive Owen,559399,Action, Mystery, Thriller, $121.66M,UA
 District 9 , Sharlto Copley, David James, Jason Cope, Nathalie Boltt,695691,Action, Sci-Fi, Thriller, $115.65M,A
 The Blues Brothers , John Belushi, Dan Aykroyd, Cab Calloway, John Candy,206129,Action, Adventure, Comedy, $57.23M,U
 A Fistful of Dollars , Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy,223727,Action, Drama, Western, $14.50M,A
 Crouching Tiger Hidden Dragon , Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen,275872,Action, Adventure, Drama, $128.08M,UA
