Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
496, Jack Reacher , Christopher McQuarrie ,N/A,N/A,N/A,N/A,N/A,130 min,-2012,7,50
497, Spy , Paul Feig ,N/A,N/A,N/A,N/A,N/A,120 min,-2015,7,75
498, Thor , Kenneth Branagh ,N/A,N/A,N/A,N/A,N/A,115 min,-2011,7,57
499, The Italian Job , F. Gary Gray ,N/A,N/A,N/A,N/A,N/A,111 min,-2003,7,68
500, Independence Day , Roland Emmerich ,N/A,N/A,N/A,N/A,N/A,145 min,-1996,7,59
501, Death Proof , Quentin Tarantino ,N/A,N/A,N/A,N/A,N/A,127 min,-2007,7,N/A
502, Cloverfield , Matt Reeves ,N/A,N/A,N/A,N/A,N/A,85 min,-2008,7,64
503, Oblivion , Joseph Kosinski ,N/A,N/A,N/A,N/A,N/A,124 min,(I) (2013),7,54
504, World War Z , Marc Forster ,N/A,N/A,N/A,N/A,N/A,116 min,-2013,7,63
505, Super 8 , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,112 min,-2011,7,72
506, Ant-Man and the Wasp , Peyton Reed ,N/A,N/A,N/A,N/A,N/A,118 min,-2018,7,70
507, Constantine , Francis Lawrence ,N/A,N/A,N/A,N/A,N/A,121 min,-2005,7,50
508, Greyhound , Aaron Schneider ,N/A,N/A,N/A,N/A,N/A,91 min,-2020,7,64
509, Pitch Black , David Twohy ,N/A,N/A,N/A,N/A,N/A,109 min,-2000,7,49
510, Highlander , Russell Mulcahy ,N/A,N/A,N/A,N/A,N/A,116 min,-1986,7,24
511, Sicario: Day of the Soldado , Stefano Sollima ,N/A,N/A,N/A,N/A,N/A,122 min,-2018,7,61
512, Underworld , Len Wiseman ,N/A,N/A,N/A,N/A,N/A,121 min,-2003,7,42
513, Star Trek Beyond , Justin Lin ,N/A,N/A,N/A,N/A,N/A,122 min,-2016,7,68
514, Smokey and the Bandit , Hal Needham ,N/A,N/A,N/A,N/A,N/A,96 min,-1977,7,50
515, Rush Hour , Brett Ratner ,N/A,N/A,N/A,N/A,N/A,98 min,-1998,7,60
516, Hellboy II: The Golden Army , Guillermo del Toro ,N/A,N/A,N/A,N/A,N/A,120 min,-2008,7,78
517, Stargate , Roland Emmerich ,N/A,N/A,N/A,N/A,N/A,116 min,-1994,7,42
518, Public Enemies , Michael Mann ,N/A,N/A,N/A,N/A,N/A,140 min,-2009,7,70
519, RED , Robert Schwentke ,N/A,N/A,N/A,N/A,N/A,111 min,-2010,7,60
520, Den of Thieves , Christian Gudegast ,N/A,N/A,N/A,N/A,N/A,140 min,-2018,7,49
521, Fallen , Gregory Hoblit ,N/A,N/A,N/A,N/A,N/A,124 min,-1998,7,N/A
522, Rambo , Sylvester Stallone ,N/A,N/A,N/A,N/A,N/A,92 min,-2008,7,46
523, Logan Lucky , Steven Soderbergh ,N/A,N/A,N/A,N/A,N/A,118 min,-2017,7,78
524, Bronson , Nicolas Winding Refn ,N/A,N/A,N/A,N/A,N/A,92 min,-2008,7,71
525, Chronicle , Josh Trank ,N/A,N/A,N/A,N/A,N/A,84 min,-2012,7,69
526, 22 Jump Street , Phil Lord, Christopher Miller ,N/A,N/A,N/A,N/A,112 min,-2014,7,71
527,9, Shane Acker ,N/A,N/A,N/A,N/A,N/A,79 min,(I) (2009),7,60
528, The Foreigner , Martin Campbell ,N/A,N/A,N/A,N/A,N/A,113 min,(I) (2017),7,55
529, The Last Boy Scout , Tony Scott ,N/A,N/A,N/A,N/A,N/A,105 min,-1991,7,52
530, The Spy Who Loved Me , Lewis Gilbert ,N/A,N/A,N/A,N/A,N/A,125 min,-1977,7,55
531, Body of Lies , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,128 min,-2008,7,57
532, Chip 'n Dale: Rescue Rangers , Akiva Schaffer ,N/A,N/A,N/A,N/A,N/A,97 min,-2022,7,66
533, Brotherhood of the Wolf , Christophe Gans ,N/A,N/A,N/A,N/A,N/A,142 min,-2001,7,57
534, Filth , Jon S. Baird ,N/A,N/A,N/A,N/A,N/A,97 min,(I) (2013),7,56
535, The Towering Inferno , John Guillermin ,N/A,N/A,N/A,N/A,N/A,165 min,-1974,7,69
536, A Most Violent Year , J.C. Chandor ,N/A,N/A,N/A,N/A,N/A,125 min,-2014,7,79
537, Ip Man 4: The Finale , Wilson Yip ,N/A,N/A,N/A,N/A,N/A,107 min,-2019,7,62
538, Spy Game , Tony Scott ,N/A,N/A,N/A,N/A,N/A,126 min,-2001,7,63
539, Ichi the Killer , Takashi Miike ,N/A,N/A,N/A,N/A,N/A,129 min,-2001,7,55
540, Maverick , Richard Donner ,N/A,N/A,N/A,N/A,N/A,127 min,-1994,7,62
541, Juice , Ernest R. Dickerson ,N/A,N/A,N/A,N/A,N/A,95 min,-1992,7,60
542, Thunderbolt and Lightfoot , Michael Cimino ,N/A,N/A,N/A,N/A,N/A,115 min,-1974,7,62
543, Taxi , Gérard Pirès ,N/A,N/A,N/A,N/A,N/A,89 min,(I) (1998),7,N/A
544, The War of the Worlds , Byron Haskin ,N/A,N/A,N/A,N/A,N/A,85 min,-1953,7,78
545, Ip Man 3 , Wilson Yip ,N/A,N/A,N/A,N/A,N/A,105 min,-2015,7,57
546, Dragon: The Bruce Lee Story , Rob Cohen ,N/A,N/A,N/A,N/A,N/A,120 min,-1993,7,69
547, An Action Hero , Anirudh Iyer ,N/A,N/A,N/A,N/A,N/A,130 min,-2022,7,N/A
548, The Protector , Prachya Pinkaew ,N/A,N/A,N/A,N/A,N/A,111 min,-2005,7,52
549, Son of Rambow , Garth Jennings ,N/A,N/A,N/A,N/A,N/A,96 min,-2007,7,66
550, Curse of the Golden Flower , Yimou Zhang ,N/A,N/A,N/A,N/A,N/A,114 min,-2006,7,70
551, Kabir Singh , Sandeep Reddy Vanga ,N/A,N/A,N/A,N/A,N/A,173 min,-2019,7,N/A
552, Sultan , Ali Abbas Zafar ,N/A,N/A,N/A,N/A,N/A,170 min,-2016,7,N/A
553, Don 2 , Farhan Akhtar ,N/A,N/A,N/A,N/A,N/A,148 min,-2011,7,49
554, The Warlords , Peter Ho-Sun Chan, Wai-Man Yip ,N/A,N/A,N/A,N/A,126 min,-2007,7,70
555, Main Hoon Na , Farah Khan ,N/A,N/A,N/A,N/A,N/A,179 min,-2004,7,N/A
556, Vikrant Rona , Anup Bhandari ,N/A,N/A,N/A,N/A,N/A,148 min,-2022,7,N/A
557, The Legend Is Born: Ip Man , Herman Yau ,N/A,N/A,N/A,N/A,N/A,100 min,-2010,7,N/A
558, Sisu , Jalmari Helander ,N/A,N/A,N/A,N/A,N/A,91 min,-2022,6.9,70
559, Top Gun , Tony Scott ,N/A,N/A,N/A,N/A,N/A,109 min,-1986,6.9,50
560, The Magnificent Seven , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,132 min,-2016,6.9,54
561, Conan the Barbarian , John Milius ,N/A,N/A,N/A,N/A,N/A,129 min,-1982,6.9,43
562, The Woman King , Gina Prince-Bythewood ,N/A,N/A,N/A,N/A,N/A,135 min,-2022,6.9,77
563, The Amazing Spider-Man , Marc Webb ,N/A,N/A,N/A,N/A,N/A,136 min,-2012,6.9,66
564, Doctor Strange in the Multiverse of Madness , Sam Raimi ,N/A,N/A,N/A,N/A,N/A,126 min,-2022,6.9,60
565, The Last Kingdom: Seven Kings Must Die , Edward Bazalgette ,N/A,N/A,N/A,N/A,N/A,111 min,-2023,6.9,48
566, Jurassic World , Colin Trevorrow ,N/A,N/A,N/A,N/A,N/A,124 min,-2015,6.9,59
567, Captain America: The First Avenger , Joe Johnston ,N/A,N/A,N/A,N/A,N/A,124 min,-2011,6.9,66
568, Con Air , Simon West ,N/A,N/A,N/A,N/A,N/A,115 min,-1997,6.9,52
569, Jumanji: Welcome to the Jungle , Jake Kasdan ,N/A,N/A,N/A,N/A,N/A,119 min,-2017,6.9,58
570, X-Men: Apocalypse , Bryan Singer ,N/A,N/A,N/A,N/A,N/A,144 min,-2016,6.9,52
571, The Mask , Chuck Russell ,N/A,N/A,N/A,N/A,N/A,101 min,-1994,6.9,56
572, Solo: A Star Wars Story , Ron Howard ,N/A,N/A,N/A,N/A,N/A,135 min,-2018,6.9,62
573, Mission: Impossible III , J.J. Abrams ,N/A,N/A,N/A,N/A,N/A,126 min,-2006,6.9,66
574, Game Night , John Francis Daley, Jonathan Goldstein ,N/A,N/A,N/A,N/A,100 min,(I) (2018),6.9,66
575, Star Wars: Episode VIII - The Last Jedi , Rian Johnson ,N/A,N/A,N/A,N/A,N/A,152 min,-2017,6.9,84
576, Pacific Rim , Guillermo del Toro ,N/A,N/A,N/A,N/A,N/A,131 min,-2013,6.9,65
577, A Knight's Tale , Brian Helgeland ,N/A,N/A,N/A,N/A,N/A,132 min,-2001,6.9,56
578, Dragged Across Concrete , S. Craig Zahler ,N/A,N/A,N/A,N/A,N/A,159 min,-2018,6.9,60
579, Iron Man 2 , Jon Favreau ,N/A,N/A,N/A,N/A,N/A,124 min,-2010,6.9,57
580, The World's End , Edgar Wright ,N/A,N/A,N/A,N/A,N/A,109 min,-2013,6.9,81
581, Robin Hood: Prince of Thieves , Kevin Reynolds ,N/A,N/A,N/A,N/A,N/A,143 min,-1991,6.9,51
582, 28 Weeks Later , Juan Carlos Fresnadillo ,N/A,N/A,N/A,N/A,N/A,100 min,-2007,6.9,78
583, National Treasure , Jon Turteltaub ,N/A,N/A,N/A,N/A,N/A,131 min,-2004,6.9,40
584, Atlantis: The Lost Empire , Gary Trousdale, Kirk Wise ,N/A,N/A,N/A,N/A,95 min,-2001,6.9,52
585, Romancing the Stone , Robert Zemeckis ,N/A,N/A,N/A,N/A,N/A,106 min,-1984,6.9,63
586, The Hitman's Bodyguard , Patrick Hughes ,N/A,N/A,N/A,N/A,N/A,118 min,-2017,6.9,47
587, Love and Monsters , Michael Matthews ,N/A,N/A,N/A,N/A,N/A,109 min,-2020,6.9,63
588, Pineapple Express , David Gordon Green ,N/A,N/A,N/A,N/A,N/A,111 min,-2008,6.9,64
589, Clear and Present Danger , Phillip Noyce ,N/A,N/A,N/A,N/A,N/A,141 min,-1994,6.9,74
590, Outlaw King , David Mackenzie ,N/A,N/A,N/A,N/A,N/A,121 min,-2018,6.9,59
591, Crank , Mark Neveldine, Brian Taylor ,N/A,N/A,N/A,N/A,88 min,-2006,6.9,57
592, In the Heart of the Sea , Ron Howard ,N/A,N/A,N/A,N/A,N/A,122 min,-2015,6.9,47
593, Clash of the Titans , Desmond Davis ,N/A,N/A,N/A,N/A,N/A,118 min,-1981,6.9,59
594, 48 Hrs, Walter Hill ,N/A,N/A,N/A,N/A,N/A,96 min,-1982,6.9,71
595, Thunderball , Terence Young ,N/A,N/A,N/A,N/A,N/A,130 min,-1965,6.9,64
596, The Guardian , Andrew Davis ,N/A,N/A,N/A,N/A,N/A,139 min,(I) (2006),6.9,53
597, Non-Stop , Jaume Collet-Serra ,N/A,N/A,N/A,N/A,N/A,106 min,-2014,6.9,56
598, Death Wish , Michael Winner ,N/A,N/A,N/A,N/A,N/A,93 min,-1974,6.9,51
599, The Edge , Lee Tamahori ,N/A,N/A,N/A,N/A,N/A,117 min,-1997,6.9,66
600, The Night Comes for Us , Timo Tjahjanto ,N/A,N/A,N/A,N/A,N/A,121 min,-2018,6.9,69
601, Westworld , Michael Crichton ,N/A,N/A,N/A,N/A,N/A,88 min,-1973,6.9,77
602, The Last Castle , Rod Lurie ,N/A,N/A,N/A,N/A,N/A,131 min,-2001,6.9,43
603, Repo Man , Alex Cox ,N/A,N/A,N/A,N/A,N/A,92 min,-1984,6.9,82
604, Legend of the Guardians: The Owls of Ga'Hoole , Zack Snyder ,N/A,N/A,N/A,N/A,N/A,97 min,-2010,6.9,53
605, All Is Lost , J.C. Chandor ,N/A,N/A,N/A,N/A,N/A,106 min,-2013,6.9,87
606, The Monster Squad , Fred Dekker ,N/A,N/A,N/A,N/A,N/A,79 min,-1987,6.9,61
607, Memphis Belle , Michael Caton-Jones ,N/A,N/A,N/A,N/A,N/A,107 min,-1990,6.9,59
608, Free State of Jones , Gary Ross ,N/A,N/A,N/A,N/A,N/A,139 min,-2016,6.9,53
609, Muppet Treasure Island , Brian Henson, David Lane ,N/A,N/A,N/A,N/A,99 min,-1996,6.9,64
610, Get the Gringo , Adrian Grunberg ,N/A,N/A,N/A,N/A,N/A,96 min,-2012,6.9,60
611, The Big Boss , Wei Lo, Chia-Hsiang Wu ,N/A,N/A,N/A,N/A,99 min,-1971,6.9,N/A
612, Slow West , John Maclean ,N/A,N/A,N/A,N/A,N/A,84 min,-2015,6.9,72
613, Agneepath , Karan Malhotra ,N/A,N/A,N/A,N/A,N/A,174 min,-2012,6.9,N/A
614, New Police Story , Benny Chan ,N/A,N/A,N/A,N/A,N/A,123 min,-2004,6.9,N/A
615, Traitor , Jeffrey Nachmanoff ,N/A,N/A,N/A,N/A,N/A,114 min,-2008,6.9,61
616, Alan Partridge , Declan Lowney ,N/A,N/A,N/A,N/A,N/A,90 min,-2013,6.9,66
617, Fan , Maneesh Sharma ,N/A,N/A,N/A,N/A,N/A,142 min,(I) (2016),6.9,N/A
618, The Legend , Jerry, Joseph D. Sami ,N/A,N/A,N/A,N/A,161 min,-2022,6.9,N/A
619, The Fast and the Furious , Rob Cohen ,N/A,N/A,N/A,N/A,N/A,106 min,-2001,6.8,58
620, Ready or Not , Matt Bettinelli-Olpin, Tyler Gillett ,N/A,N/A,N/A,N/A,95 min,(I) (2019),6.8,64
621, Hanna , Joe Wright ,N/A,N/A,N/A,N/A,N/A,111 min,-2011,6.8,65
622, Captain Marvel , Anna Boden, Ryan Fleck ,N/A,N/A,N/A,N/A,123 min,-2019,6.8,64
623, Mad Max , George Miller ,N/A,N/A,N/A,N/A,N/A,88 min,-1979,6.8,73
624, Aquaman , James Wan ,N/A,N/A,N/A,N/A,N/A,143 min,-2018,6.8,55
625, Bad Boys , Michael Bay ,N/A,N/A,N/A,N/A,N/A,119 min,-1995,6.8,41
626, TRON: Legacy , Joseph Kosinski ,N/A,N/A,N/A,N/A,N/A,125 min,-2010,6.8,49
627, The Maze Runner , Wes Ball ,N/A,N/A,N/A,N/A,N/A,113 min,-2014,6.8,57
628, Spectre , Sam Mendes ,N/A,N/A,N/A,N/A,N/A,148 min,(I) (2015),6.8,60
629, Unstoppable , Tony Scott ,N/A,N/A,N/A,N/A,N/A,98 min,-2010,6.8,69
630, Boss Level , Joe Carnahan ,N/A,N/A,N/A,N/A,N/A,100 min,-2020,6.8,56
631, The Transporter , Louis Leterrier, Corey Yuen ,N/A,N/A,N/A,N/A,92 min,-2002,6.8,51
632, Men in Black 3 , Barry Sonnenfeld ,N/A,N/A,N/A,N/A,N/A,106 min,-2012,6.8,58
633, Bloodsport , Newt Arnold ,N/A,N/A,N/A,N/A,N/A,92 min,-1988,6.8,29
634, Thor: The Dark World , Alan Taylor ,N/A,N/A,N/A,N/A,N/A,112 min,-2013,6.8,54
635, What Happened to Monday , Tommy Wirkola ,N/A,N/A,N/A,N/A,N/A,123 min,-2017,6.8,47
636, The Book of Eli , Albert Hughes, Allen Hughes ,N/A,N/A,N/A,N/A,118 min,-2010,6.8,53
637, Young Guns , Christopher Cain ,N/A,N/A,N/A,N/A,N/A,107 min,-1988,6.8,50
638, The Island , Michael Bay ,N/A,N/A,N/A,N/A,N/A,136 min,-2005,6.8,50
639, Patriot Games , Phillip Noyce ,N/A,N/A,N/A,N/A,N/A,117 min,-1992,6.8,64
640, Hellboy , Guillermo del Toro ,N/A,N/A,N/A,N/A,N/A,122 min,-2004,6.8,72
641, Logan's Run , Michael Anderson ,N/A,N/A,N/A,N/A,N/A,119 min,-1976,6.8,53
642, Ghostbusters , Paul Feig ,N/A,N/A,N/A,N/A,N/A,117 min,-2016,6.8,60
643, The Mask of Zorro , Martin Campbell ,N/A,N/A,N/A,N/A,N/A,136 min,-1998,6.8,63
644, News of the World , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,118 min,-2020,6.8,73
645, Chappie , Neill Blomkamp ,N/A,N/A,N/A,N/A,N/A,120 min,-2015,6.8,41
646, The Score , Frank Oz ,N/A,N/A,N/A,N/A,N/A,124 min,-2001,6.8,71
647, The Long Kiss Goodnight , Renny Harlin ,N/A,N/A,N/A,N/A,N/A,121 min,-1996,6.8,44
648, The Outpost , Rod Lurie ,N/A,N/A,N/A,N/A,N/A,123 min,-2019,6.8,71
649, Spies in Disguise , Nick Bruno, Troy Quane ,N/A,N/A,N/A,N/A,102 min,-2019,6.8,54
650, Superman II , Richard Lester, Richard Donner ,N/A,N/A,N/A,N/A,127 min,-1980,6.8,83
651, You Only Live Twice , Lewis Gilbert ,N/A,N/A,N/A,N/A,N/A,117 min,-1967,6.8,61
652, Dog Soldiers , Neil Marshall ,N/A,N/A,N/A,N/A,N/A,105 min,-2002,6.8,N/A
653, Four Brothers , John Singleton ,N/A,N/A,N/A,N/A,N/A,109 min,-2005,6.8,49
654, Innerspace , Joe Dante ,N/A,N/A,N/A,N/A,N/A,120 min,-1987,6.8,66
655, Shin Godzilla , Hideaki Anno, Shinji Higuchi ,N/A,N/A,N/A,N/A,120 min,-2016,6.8,67
656, Street Kings , David Ayer ,N/A,N/A,N/A,N/A,N/A,109 min,-2008,6.8,55
657, Three Steps Above Heaven , Fernando González Molina ,N/A,N/A,N/A,N/A,N/A,118 min,-2010,6.8,N/A
658, Green Zone , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,115 min,-2010,6.8,63
659, Unknown , Jaume Collet-Serra ,N/A,N/A,N/A,N/A,N/A,113 min,(I) (2011),6.8,56
660, Tristan + Isolde , Kevin Reynolds ,N/A,N/A,N/A,N/A,N/A,125 min,-2006,6.8,49
661, El Mariachi , Robert Rodriguez ,N/A,N/A,N/A,N/A,N/A,81 min,-1992,6.8,73
662, We Own the Night , James Gray ,N/A,N/A,N/A,N/A,N/A,117 min,-2007,6.8,59
663, Harsh Times , David Ayer ,N/A,N/A,N/A,N/A,N/A,116 min,-2005,6.8,56
664, Enemy Mine , Wolfgang Petersen ,N/A,N/A,N/A,N/A,N/A,108 min,-1985,6.8,59
665, Who Am I? , Benny Chan, Jackie Chan ,N/A,N/A,N/A,N/A,108 min,-1998,6.8,N/A
666, Dead Snow 2: Red vs, Tommy Wirkola ,N/A,N/A,N/A,N/A,N/A,100 min,-2014,6.8,59
667, Bumblebee , Travis Knight ,N/A,N/A,N/A,N/A,N/A,114 min,(I) (2018),6.7,66
668, Extraction , Sam Hargrave ,N/A,N/A,N/A,N/A,N/A,116 min,-2020,6.7,56
669, Black Panther: Wakanda Forever , Ryan Coogler ,N/A,N/A,N/A,N/A,N/A,161 min,-2022,6.7,67
670, Violent Night , Tommy Wirkola ,N/A,N/A,N/A,N/A,N/A,112 min,-2022,6.7,55
671, Commando , Mark L. Lester ,N/A,N/A,N/A,N/A,N/A,90 min,-1985,6.7,51
672, In Time , Andrew Niccol ,N/A,N/A,N/A,N/A,N/A,109 min,-2011,6.7,53
673, Safe House , Daniel Espinosa ,N/A,N/A,N/A,N/A,N/A,115 min,-2012,6.7,52
674, Black Widow , Cate Shortland ,N/A,N/A,N/A,N/A,N/A,134 min,-2021,6.7,68
675, Kingsman: The Golden Circle , Matthew Vaughn ,N/A,N/A,N/A,N/A,N/A,141 min,-2017,6.7,44
676, On Her Majesty's Secret Service , Peter R. Hunt ,N/A,N/A,N/A,N/A,N/A,142 min,-1969,6.7,61
677, Jumanji: The Next Level , Jake Kasdan ,N/A,N/A,N/A,N/A,N/A,123 min,-2019,6.7,58
678, Road House , Rowdy Herrington ,N/A,N/A,N/A,N/A,N/A,114 min,-1989,6.7,36
679, Teenage Mutant Ninja Turtles , Steve Barron ,N/A,N/A,N/A,N/A,N/A,93 min,-1990,6.7,51
680, Armageddon , Michael Bay ,N/A,N/A,N/A,N/A,N/A,151 min,-1998,6.7,42
681, The Adam Project , Shawn Levy ,N/A,N/A,N/A,N/A,N/A,106 min,-2022,6.7,55
682, The A-Team , Joe Carnahan ,N/A,N/A,N/A,N/A,N/A,117 min,-2010,6.7,47
683, Demolition Man , Marco Brambilla ,N/A,N/A,N/A,N/A,N/A,115 min,-1993,6.7,34
684, Midway , Roland Emmerich ,N/A,N/A,N/A,N/A,N/A,138 min,-2019,6.7,47
685, Warcraft , Duncan Jones ,N/A,N/A,N/A,N/A,N/A,123 min,-2016,6.7,32
686, King Arthur: Legend of the Sword , Guy Ritchie ,N/A,N/A,N/A,N/A,N/A,126 min,-2017,6.7,41
687, The Equalizer 2 , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,121 min,-2018,6.7,50
688, No Escape , John Erick Dowdle ,N/A,N/A,N/A,N/A,N/A,103 min,(I) (2015),6.7,38
689, 2 Guns , Baltasar Kormákur ,N/A,N/A,N/A,N/A,N/A,109 min,-2013,6.7,55
690, Enola Holmes 2 , Harry Bradbeer ,N/A,N/A,N/A,N/A,N/A,129 min,-2022,6.7,64
691, Tron , Steven Lisberger ,N/A,N/A,N/A,N/A,N/A,96 min,-1982,6.7,58
692, Escape Plan , Mikael Håfström ,N/A,N/A,N/A,N/A,N/A,115 min,-2013,6.7,49
693, The Wolverine , James Mangold ,N/A,N/A,N/A,N/A,N/A,126 min,-2013,6.7,61
694, Atomic Blonde , David Leitch ,N/A,N/A,N/A,N/A,N/A,115 min,-2017,6.7,63
695, Wanted , Timur Bekmambetov ,N/A,N/A,N/A,N/A,N/A,110 min,-2008,6.7,64
696, The Guest , Adam Wingard ,N/A,N/A,N/A,N/A,N/A,100 min,(I) (2014),6.7,76
697, Live and Let Die , Guy Hamilton ,N/A,N/A,N/A,N/A,N/A,121 min,-1973,6.7,55
698, Zombieland: Double Tap , Ruben Fleischer ,N/A,N/A,N/A,N/A,N/A,99 min,-2019,6.7,55
699, Super , James Gunn ,N/A,N/A,N/A,N/A,N/A,96 min,(I) (2010),6.7,50
700, The Last Starfighter , Nick Castle ,N/A,N/A,N/A,N/A,N/A,101 min,-1984,6.7,67
701, Pandorum , Christian Alvart ,N/A,N/A,N/A,N/A,N/A,108 min,-2009,6.7,28
702, Gangster Squad , Ruben Fleischer ,N/A,N/A,N/A,N/A,N/A,113 min,-2013,6.7,40
703, The Matrix Revolutions , Lana Wachowski, Lilly Wachowski ,N/A,N/A,N/A,N/A,129 min,-2003,6.7,47
704, Out of the Furnace , Scott Cooper ,N/A,N/A,N/A,N/A,N/A,116 min,-2013,6.7,63
705, Blade II , Guillermo del Toro ,N/A,N/A,N/A,N/A,N/A,117 min,-2002,6.7,52
706, The Man with the Golden Gun , Guy Hamilton ,N/A,N/A,N/A,N/A,N/A,125 min,-1974,6.7,43
707, Angels & Demons , Ron Howard ,N/A,N/A,N/A,N/A,N/A,138 min,-2009,6.7,48
708, Hot Shots! , Jim Abrahams ,N/A,N/A,N/A,N/A,N/A,84 min,-1991,6.7,61
709, Attack the Block , Joe Cornish ,N/A,N/A,N/A,N/A,N/A,88 min,-2011,6.7,75
710, For Your Eyes Only , John Glen ,N/A,N/A,N/A,N/A,N/A,127 min,-1981,6.7,54
711, Kisi Ka Bhai Kisi Ki Jaan , Farhad Samji ,N/A,N/A,N/A,N/A,N/A,145 min,-2023,6.7,N/A
712, Appaloosa , Ed Harris ,N/A,N/A,N/A,N/A,N/A,115 min,-2008,6.7,64
713, Jungle , Greg McLean ,N/A,N/A,N/A,N/A,N/A,115 min,(I) (2017),6.7,48
714, The Grey , Joe Carnahan ,N/A,N/A,N/A,N/A,N/A,117 min,-2011,6.7,64
715, The Living Daylights , John Glen ,N/A,N/A,N/A,N/A,N/A,130 min,-1987,6.7,59
716, Underworld: Evolution , Len Wiseman ,N/A,N/A,N/A,N/A,N/A,106 min,-2006,6.7,36
717, Conspiracy Theory , Richard Donner ,N/A,N/A,N/A,N/A,N/A,135 min,-1997,6.7,49
718, The Finest Hours , Craig Gillespie ,N/A,N/A,N/A,N/A,N/A,117 min,-2016,6.7,58
719, Wyatt Earp , Lawrence Kasdan ,N/A,N/A,N/A,N/A,N/A,191 min,-1994,6.7,47
720, Hardcore Henry , Ilya Naishuller ,N/A,N/A,N/A,N/A,N/A,96 min,-2015,6.7,51
721, Absolute Power , Clint Eastwood ,N/A,N/A,N/A,N/A,N/A,121 min,-1997,6.7,52
722, Colors , Dennis Hopper ,N/A,N/A,N/A,N/A,N/A,120 min,-1988,6.7,66
723, Rumble in the Bronx , Stanley Tong ,N/A,N/A,N/A,N/A,N/A,87 min,-1995,6.7,61
724, Harriet , Kasi Lemmons ,N/A,N/A,N/A,N/A,N/A,125 min,(I) (2019),6.7,66
725, Pete's Dragon , David Lowery ,N/A,N/A,N/A,N/A,N/A,102 min,-2016,6.7,71
726, Lethal Weapon 3 , Richard Donner ,N/A,N/A,N/A,N/A,N/A,118 min,-1992,6.7,40
727, Backdraft , Ron Howard ,N/A,N/A,N/A,N/A,N/A,137 min,-1991,6.7,38
728, Hamburger Hill , John Irvin ,N/A,N/A,N/A,N/A,N/A,110 min,-1987,6.7,64
729, Death Sentence , James Wan ,N/A,N/A,N/A,N/A,N/A,105 min,-2007,6.7,36
730, Machine Gun Preacher , Marc Forster ,N/A,N/A,N/A,N/A,N/A,129 min,-2011,6.7,43
731, Tales from the Crypt: Demon Knight , Ernest R. Dickerson ,N/A,N/A,N/A,N/A,N/A,92 min,-1995,6.7,48
732, Ransom , Ron Howard ,N/A,N/A,N/A,N/A,N/A,121 min,-1996,6.7,60
733, The Enforcer , James Fargo ,N/A,N/A,N/A,N/A,N/A,96 min,-1976,6.7,58
734, Hidalgo , Joe Johnston ,N/A,N/A,N/A,N/A,N/A,136 min,-2004,6.7,54
735, Brooklyn's Finest , Antoine Fuqua ,N/A,N/A,N/A,N/A,N/A,132 min,-2009,6.7,43
736, The Salvation , Kristian Levring ,N/A,N/A,N/A,N/A,N/A,92 min,-2014,6.7,64
737, Nothing to Lose , Steve Oedekerk ,N/A,N/A,N/A,N/A,N/A,98 min,-1997,6.7,N/A
738, The Brothers Bloom , Rian Johnson ,N/A,N/A,N/A,N/A,N/A,114 min,-2008,6.7,55
739, Blood and Bone , Ben Ramsey ,N/A,N/A,N/A,N/A,N/A,93 min,-2009,6.7,N/A
740, Stakeout , John Badham ,N/A,N/A,N/A,N/A,N/A,117 min,-1987,6.7,69
741, The Brave One , Neil Jordan ,N/A,N/A,N/A,N/A,N/A,122 min,-2007,6.7,56
742, Turbo Kid , François Simard, Anouk Whissell, Yoann-Karl Whissell ,N/A,N/A,N/A,93 min,-2015,6.7,60
743, Wild Target , Jonathan Lynn ,N/A,N/A,N/A,N/A,N/A,98 min,-2010,6.7,41
744, Om Shanti Om , Farah Khan ,N/A,N/A,N/A,N/A,N/A,162 min,-2007,6.7,N/A
745, Antim: The Final Truth , Mahesh Manjrekar ,N/A,N/A,N/A,N/A,N/A,138 min,-2021,6.7,N/A
746, The Fate of the Furious , F. Gary Gray ,N/A,N/A,N/A,N/A,N/A,136 min,-2017,6.6,56
747, The Expendables 2 , Simon West ,N/A,N/A,N/A,N/A,N/A,103 min,-2012,6.6,51
748, Venom , Ruben Fleischer ,N/A,N/A,N/A,N/A,N/A,112 min,-2018,6.6,35
749, Red Sparrow , Francis Lawrence ,N/A,N/A,N/A,N/A,N/A,140 min,-2018,6.6,53
750, The Amazing Spider-Man 2 , Marc Webb ,N/A,N/A,N/A,N/A,N/A,142 min,-2014,6.6,53
751, Star Wars: Episode II - Attack of the Clones , George Lucas ,N/A,N/A,N/A,N/A,N/A,142 min,-2002,6.6,54
752, Kong: Skull Island , Jordan Vogt-Roberts ,N/A,N/A,N/A,N/A,N/A,118 min,-2017,6.6,62
