Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
79, Sarfarosh , John Mathew Matthan ,N/A,N/A,N/A,N/A,N/A,174 min,-1999,8.1,N/A
80, Kaththi , A.R. Murugadoss ,N/A,N/A,N/A,N/A,N/A,166 min,-2014,8.1,N/A
81, Dune: Part One , Denis Villeneuve ,N/A,N/A,N/A,N/A,N/A,155 min,-2021,8,74
82, Guardians of the Galaxy , James Gunn ,N/A,N/A,N/A,N/A,N/A,121 min,-2014,8,76
83, Blade Runner 2049 , Denis Villeneuve ,N/A,N/A,N/A,N/A,N/A,164 min,-2017,8,81
84, Casino Royale , Martin Campbell ,N/A,N/A,N/A,N/A,N/A,144 min,-2006,8,80
85, Zack Snyder's Justice League , Zack Snyder ,N/A,N/A,N/A,N/A,N/A,242 min,-2021,8,54
86, Deadpool , Tim Miller ,N/A,N/A,N/A,N/A,N/A,108 min,-2016,8,65
87, The Avengers , Joss Whedon ,N/A,N/A,N/A,N/A,N/A,143 min,-2012,8,69
88, The Incredibles , Brad Bird ,N/A,N/A,N/A,N/A,N/A,115 min,-2004,8,90
89, The Revenant , Alejandro G. Iñárritu ,N/A,N/A,N/A,N/A,N/A,156 min,(I) (2015),8,76
90, Akira , Katsuhiro Ôtomo ,N/A,N/A,N/A,N/A,N/A,124 min,-1988,8,67
91, The Bourne Ultimatum , Paul Greengrass ,N/A,N/A,N/A,N/A,N/A,115 min,-2007,8,85
92, Ip Man , Wilson Yip ,N/A,N/A,N/A,N/A,N/A,106 min,-2008,8,59
93, Kill Bill: Vol, Quentin Tarantino ,N/A,N/A,N/A,N/A,N/A,137 min,-2004,8,83
94, Wolfwalkers , Tomm Moore, Ross Stewart ,N/A,N/A,N/A,N/A,103 min,-2020,8,87
95, Infernal Affairs , Andrew Lau, Alan Mak ,N/A,N/A,N/A,N/A,101 min,-2002,8,75
96, Baahubali: The Beginning , S.S. Rajamouli ,N/A,N/A,N/A,N/A,N/A,159 min,-2015,8,N/A
97, Elite Squad , José Padilha ,N/A,N/A,N/A,N/A,N/A,115 min,-2007,8,33
98, Sanjuro , Akira Kurosawa ,N/A,N/A,N/A,N/A,N/A,96 min,-1962,8,N/A
99, Elite Squad 2: The Enemy Within , José Padilha ,N/A,N/A,N/A,N/A,N/A,115 min,-2010,8,71
100, Haider , Vishal Bhardwaj ,N/A,N/A,N/A,N/A,N/A,160 min,-2014,8,N/A
